salario,edad,años_trabajando
25685,61,29
26401,24,0
31699,40,13
35134,60,11
33167,42,14
22375,46,28
12061,23,5
13948,32,12
47642,24,3
45313,45,2
45269,63,20
8703,62,32
49745,33,13
25954,19,0
8952,57,39
44976,34,12
31002,23,5
34104,21,1
28285,31,12
18806,20,1
11095,39,6
25832,26,1
48578,31,3
35019,47,14
36997,53,13
34498,46,2
40536,33,13
44158,27,1
30166,63,2
32958,49,18
8838,39,17
15444,21,0
24889,63,40
17482,26,5
35561,44,18
42475,19,0
29835,65,41
27185,37,7
38123,59,0
32908,40,10
10556,62,36
47459,27,3
43078,21,1
34825,32,2
15343,23,4
13653,42,4
25928,48,8
41603,21,1
33606,63,40
28169,57,15
15082,60,21
11440,36,8
35176,57,12
19257,43,14
23826,28,0
39437,65,21
9725,23,4
41007,34,4
18321,50,13
21690,32,14
32190,36,14
43708,31,1
38962,23,5
43368,34,7
19959,25,6
30307,52,19
15366,50,1
45787,65,3
31249,56,30
38133,21,1
25529,41,7
46120,22,2
13262,34,3
15618,56,5
22343,35,7
46618,18,0
27802,49,16
28094,30,4
46641,38,6
11919,41,7
18774,49,14
16313,46,8
8439,47,14
30841,48,19
9781,22,2
28120,32,7
24305,36,11
9272,38,12
12551,31,0
19953,33,1
24245,41,10
23836,46,7
8433,53,21
43135,33,14
32838,29,5
22655,24,0
20385,61,26
14881,42,8
34228,59,39
28746,46,12
28732,20,1
45608,23,4
35086,26,4
22443,47,28
16499,40,4
37240,63,0
27704,61,12
11537,22,3
27970,28,10
35765,44,4
29636,56,24
24378,41,8
17049,38,6
30993,53,20
23379,59,10
44969,41,2
46317,22,2
15599,63,25
26119,58,30
12609,48,27
34835,31,13
9579,35,13
8602,54,13
12172,30,9
46485,65,6
49087,29,2
45977,55,10
42993,48,14
40350,18,0
14592,46,7
39354,53,32
46251,27,0
46539,34,12
38624,40,20
47479,56,26
44501,51,28
30711,42,1
36207,32,1
49585,19,1
40694,34,6
47703,42,15
48069,62,6
30847,27,1
36832,64,11
17239,20,1
35254,40,0
9498,35,4
49644,27,6
14264,23,0
45335,63,2
29204,41,17
33242,48,27
40151,47,5
34923,34,9
42988,42,21
39174,59,4
27250,34,14
31474,54,24
12700,19,1
40174,64,12
44875,52,8
34620,64,26
42697,32,11
31150,22,1
29575,24,0
8563,37,19
40570,55,31
31667,34,14
15948,34,5
30054,27,6
25944,61,26
15877,38,10
21036,47,5
11082,45,22
46519,44,5
18642,43,22
34037,46,28
41318,31,3
19739,19,1
38816,64,9
9641,23,5
20656,28,6
13549,63,36
21503,49,11
36505,36,13
40831,30,1
43512,23,5
23730,22,2
30996,27,5
18567,21,0
15209,57,28
8437,24,0
33033,42,6
10943,34,3
16605,55,32
37413,39,10
19019,51,25
16613,45,1
21597,32,4
20955,52,29
38232,19,1
15085,37,11
46162,46,21
46608,56,31
30320,22,4
40155,56,30
39042,36,3
15396,43,20
45434,25,5
45103,26,2
33574,46,9
36064,51,8
25048,25,5
32955,46,26
21525,19,1
38616,52,19
15864,43,14
22673,54,19
21776,55,27
37768,30,1
34113,28,9
40110,40,4
25147,34,11
49261,52,7
45230,26,1
9591,40,16
22305,28,9
41925,26,7
47693,60,40
25836,46,19
36744,38,7
37601,32,6
30679,18,0
21408,32,3
14299,43,4
40994,49,6
15055,19,0
13843,37,15
46348,24,0
27243,49,27
27130,64,35
8422,27,0
19913,40,11
45690,18,0
38705,54,28
49184,24,4
32146,60,42
15265,54,31
46279,20,2
15975,59,20
39808,57,34
31638,18,0
18507,43,17
21872,44,15
49416,58,25
38778,18,0
21998,63,31
26914,47,6
40213,52,2
20409,54,21
22257,18,0
17039,65,45
43299,20,0
27093,58,27
24199,18,0
8475,32,5
13180,51,1
24876,59,31
11384,51,8
13156,42,21
20854,24,0
13981,62,11
14257,28,2
31500,29,10
46165,34,7
45591,62,22
18917,22,2
22752,29,3
20107,28,1
10156,38,0
21397,60,16
39833,60,14
14199,54,30
46829,36,3
33599,39,1
21404,58,32
27163,47,12
17350,25,1
24590,52,34
27717,32,7
17874,28,10
31511,59,1
41056,65,41
13935,38,16
11605,29,8
27145,35,0
9875,59,39
37950,48,27
16441,34,12
36561,63,13
24133,63,24
31423,49,12
15852,51,5
38652,65,21
18734,59,25
47200,40,1
8738,40,0
23970,41,0
33222,65,47
36517,24,1
25676,42,20
49979,26,0
36142,30,0
42827,28,3
8563,39,11
44605,30,9
47835,40,12
41972,36,6
35563,62,37
34817,49,8
45676,61,8
39040,20,0
10119,21,3
33298,22,3
47209,43,0
16619,26,2
12624,21,0
11396,24,0
39889,53,9
41054,34,6
36677,35,3
42382,42,18
13647,30,7
35849,54,34
20398,44,8
31879,44,2
42136,50,21
43212,32,12
17475,48,3
37277,23,0
30108,21,2
23177,28,10
14779,49,17
30695,65,7
12742,36,3
26980,55,21
30575,22,2
34554,48,23
45798,58,2
46513,42,0
21759,59,27
29333,55,17
12878,33,3
36267,64,42
15829,65,15
10409,28,2
31075,37,3
9638,42,16
24928,29,3
11978,36,8
17363,59,23
43595,39,16
24073,30,0
30200,44,11
24076,24,6
42873,42,7
10619,27,1
22091,46,12
43230,40,2
30685,21,2
33539,39,0
16938,41,0
18237,39,1
13794,27,8
45257,41,1
19750,31,0
43181,45,1
19821,65,14
28072,41,9
30636,54,1
11798,29,2
11388,29,10
11610,54,33
32954,46,3
28881,46,23
8085,40,8
9372,28,1
31907,31,1
35597,59,1
27595,27,2
42278,27,3
19523,35,4
45868,40,9
20781,28,1
47009,33,8
12850,28,7
48398,28,1
40544,45,15
11109,51,23
9350,41,12
27120,58,26
16952,52,27
39916,51,22
28187,49,12
36383,34,3
37621,22,4
14032,56,12
14917,62,32
26219,40,20
42335,48,26
27542,55,22
35082,58,18
38198,65,22
34486,56,15
32780,24,5
32462,58,1
8125,34,6
44013,45,27
9523,28,3
20730,46,25
35656,59,9
47298,40,16
30198,57,39
49924,49,13
47506,35,4
43540,30,4
26879,20,2
49505,52,16
42564,18,0
25918,39,1
30663,49,12
43524,37,6
29980,29,10
38691,64,11
39085,43,21
22314,58,25
36308,47,0
18265,47,4
25624,20,1
48875,51,7
20473,59,37
31723,38,10
29636,65,9
43473,62,28
17815,35,4
28174,25,4
25417,50,8
32899,18,0
39018,31,1
41996,55,1
19725,28,10
32606,64,9
37722,60,2
22326,28,7
15809,44,25
17388,33,10
13842,25,3
15273,60,32
17707,28,5
37752,36,4
47700,54,12
48507,37,13
32111,18,0
16924,47,14
47225,32,7
13283,50,14
30229,61,3
49590,34,10
19565,27,8
49863,18,0
22298,57,2
28507,50,31
36157,23,4
12886,61,31
16772,27,5
19643,64,11
31762,56,15
40959,36,8
47664,59,7
37704,61,0
33765,35,13
8126,50,4
37366,52,33
32560,47,9
23335,52,6
21569,19,0
21339,35,3
26548,64,43
46503,30,2
20539,36,5
42317,29,1
38782,38,13
16396,60,9
16664,52,7
13237,23,0
29357,47,23
27307,22,4
48106,48,4
30515,31,5
41556,57,0
48005,46,26
26842,39,6
33948,44,13
16620,26,6
20063,45,17
17170,41,18
8987,54,36
45548,35,0
28523,34,15
37571,41,12
30823,27,0
35814,59,35
20176,32,8
32194,42,7
45190,43,8
23109,20,2
19965,60,7
20406,21,0
34600,61,24
18796,32,6
43771,57,26
9082,45,15
27391,36,7
19076,36,16
41195,51,1
11541,39,9
20580,58,23
41776,31,6
44060,20,0
28723,36,1
46069,22,3
45828,50,28
8177,22,1
18701,38,3
23575,45,21
44113,34,15
35233,44,13
36986,32,9
13118,39,7
18148,18,0
41500,59,15
40317,36,1
22337,34,10
24890,24,2
30097,22,3
23854,31,8
19302,22,2
46499,36,9
26902,34,13
14080,27,1
21560,35,3
21320,35,17
12686,57,30
11450,45,5
21455,63,24
47240,25,0
23123,38,15
22812,37,7
19378,25,0
43298,51,5
17106,39,0
26775,40,12
19284,23,5
42256,22,0
39854,60,4
29477,65,19
23166,65,19
22239,49,25
31039,32,0
10985,59,36
25134,40,6
36717,46,15
39346,43,12
20320,30,8
36978,32,5
44454,52,21
14176,18,0
32271,29,4
33516,59,24
13332,19,0
13297,35,14
22632,36,17
30274,36,18
46835,18,0
11645,20,1
39537,27,4
49159,56,10
23429,47,14
29126,53,3
40827,65,18
10106,23,0
42165,25,2
34459,62,20
13970,27,1
34014,32,9
37628,45,17
20745,53,9
17854,29,0
39994,41,9
23133,37,0
38769,34,5
36104,23,3
30827,27,5
32744,49,12
14023,40,18
17873,27,9
28836,64,19
11063,46,4
48110,37,17
23048,54,12
46468,58,0
31944,23,5
24519,44,19
35715,58,9
18135,32,12
48234,26,6
30848,45,14
44800,58,14
19474,23,3
8619,51,30
46601,20,0
20690,49,25
15732,23,3
41741,45,19
45655,33,12
35131,63,2
9290,37,18
34122,42,22
15879,53,27
14961,42,7
31942,42,22
33148,64,36
8409,34,1
28385,36,1
21666,42,14
8488,65,11
29489,31,0
43598,49,15
10642,50,28
31963,52,30
24035,54,13
40241,63,30
31209,49,22
8723,28,10
45395,58,18
21251,46,1
27596,19,0
20947,44,25
27466,28,2
45351,56,30
12176,30,3
12440,52,12
47695,42,0
13486,49,12
28637,35,7
36602,36,15
18409,45,17
26602,58,9
24400,65,40
26777,40,9
22206,53,21
38273,59,22
13514,39,4
33667,21,0
36151,65,20
13029,54,33
30399,43,6
34740,39,4
26227,36,5
25212,65,0
26677,32,11
21853,23,3
23043,20,2
39179,46,19
35440,62,27
10694,48,20
25177,38,8
12110,49,0
19300,36,9
19038,39,1
9300,32,2
45887,23,1
14383,37,4
27450,49,4
25730,32,12
43157,43,13
14216,30,4
8167,43,9
40212,49,24
15247,57,6
39719,31,12
31578,38,4
30293,30,8
11713,65,28
14374,61,27
32726,26,3
40365,44,19
17386,59,38
32062,35,9
38252,29,11
42679,29,2
25149,19,1
21626,50,24
18384,59,15
35494,29,2
9368,36,14
13715,53,11
39055,47,29
10744,43,25
32534,33,7
44664,42,13
27084,29,11
46560,27,3
48485,52,30
38521,37,4
30951,23,3
31726,33,10
26239,21,1
15882,52,23
28241,25,2
9364,50,26
37043,24,1
8536,64,19
16544,44,26
8786,37,13
8946,47,20
17482,65,10
8190,52,21
25041,58,12
17767,42,9
48804,18,0
40502,35,3
9586,54,7
25475,41,10
36174,61,21
45601,56,2
45122,40,18
23131,37,10
23686,29,7
8131,60,15
15291,26,7
40352,50,24
41326,47,0
21200,33,8
41901,46,15
13951,44,5
12643,42,7
29484,65,9
12773,38,18
24525,22,1
8170,62,9
11365,24,0
44903,41,10
28653,61,6
40595,19,1
16935,51,0
19865,48,10
22544,21,3
17069,19,0
26443,48,9
49863,61,23
21928,33,14
24999,57,22
18418,57,5
9698,46,26
48858,45,22
36239,63,18
11968,20,1
32157,43,10
45716,43,0
9334,65,12
26347,30,6
41564,57,6
48257,43,13
25610,37,17
33865,38,6
8923,45,17
18429,30,4
12116,21,2
28186,19,0
34165,50,5
40377,65,28
15480,40,19
26568,38,20
46179,28,8
24313,32,3
30519,33,3
23621,42,21
38772,21,2
14169,52,6
40032,33,10
36649,18,0
25135,48,0
41564,57,3
17171,63,10
21421,28,1
49379,27,8
39349,22,0
38140,41,5
34515,21,3
16661,21,0
45954,57,4
49148,57,4
21395,53,31
34129,27,4
29654,57,32
32822,46,20
35062,34,3
26366,64,20
20836,63,10
20383,62,0
26800,32,6
43202,44,16
34318,35,14
17547,25,4
21501,37,12
16708,52,28
16070,33,11
43799,49,9
43140,61,30
24699,49,0
20397,58,20
21059,32,11
46414,57,14
44855,64,2
30557,18,0
10208,31,11
15390,49,1
37453,27,7
37897,55,9
40676,57,5
20605,22,2
9505,35,6
35858,29,4
11625,34,11
13863,51,33
30966,65,15
24114,44,2
33255,26,2
28008,53,35
11269,63,15
49550,64,21
13060,60,17
12233,32,2
44768,22,2
33161,38,7
32888,54,31
31561,61,39
18381,42,1
26641,36,1
11578,30,10
20912,34,9
14464,60,13
34330,29,11
30712,33,7
48804,62,14
41414,54,17
14572,40,4
25763,58,30
45283,31,2
13873,55,36
46850,59,8
12593,49,31
16110,29,4
11322,54,8
9056,26,0
14245,29,1
16335,29,8
14404,55,26
20165,65,26
9861,62,13
23479,34,6
49313,45,10
38916,56,38
26746,48,3
12379,20,2
28668,50,2
46665,36,14
21380,27,8
17573,25,7
12763,44,12
47580,23,0
11908,64,40
49498,37,15
48547,63,22
31295,57,4
41794,18,0
11937,31,12
32021,32,9
29976,58,20
29833,65,8
25669,41,15
19619,22,2
46619,64,8
44056,48,20
37434,50,10
31025,39,11
38038,23,5
18248,38,1
19949,25,0
31908,52,1
9079,49,24
37050,20,2
12830,22,3
42321,32,2
22051,24,6
21907,38,9
22849,43,22
16698,37,16
27237,53,34
26174,19,1
35261,55,37
39791,28,0
43000,25,2
26743,23,5
31958,41,22
30078,44,2
46243,40,11
40177,36,9
14418,43,12
11629,64,35
16950,59,4
49715,64,14
37027,31,1
12418,35,8
31035,57,20
15199,25,0
19375,36,14
29622,42,2
16064,44,17
9690,48,22
23880,19,1
35300,60,28
41774,56,35
40355,31,0
21828,19,1
